event_date,buy_date,topic,topic_display,instrument,post_count,avg_sentiment,sentiment_label,total_engagement,platform,headline_text,buy_price,presidency_era,in_office,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
2010-03-17,2010-03-17,gold,Gold,gold,1,0.7717,positive,27,Twitter,Olympic Gold Medalist Evan Lysacek just left my office. He is in town and wanted to meet me--he's a fanastic guy and a true champion.,1124.0,Not President (Pre-2017),Not In Office,0.3025,100302.49,-3.1495,96850.53,1.0943,101094.31
2012-01-05,2012-01-05,gold,Gold,gold,1,0.0772,positive,92,Twitter,China is driving the price of gold up in order to ease pressure against Iranian sanctions. http://bit.ly/zTIER0 ,1619.4,Not President (Pre-2017),Not In Office,-0.2038,99796.22,1.7229,101722.86,6.3851,106385.08
2012-08-06,2012-08-06,gold,Gold,gold,1,0.8932,positive,168,Twitter,Congratulations to Gabby Douglas on winning the Gold for the USA in gymnastics. She is terrific!,1612.9,Not President (Pre-2017),Not In Office,-0.1984,99801.6,-0.2046,99795.4,4.8298,104829.81
2012-08-10,2012-08-10,gold,Gold,gold,1,0.9381,positive,138,Twitter,Congratulations to our great Women's Olympic Soccer team @ussoccer on their gold medal. They made us all proud!,1619.7,Not President (Pre-2017),Not In Office,-0.6236,99376.43,-0.2099,99790.08,6.7296,106729.64
2012-08-13,2012-08-13,gold,Gold,gold,1,0.8074,positive,175,Twitter,"Congratulations to our Olympic team for by far winning the most medals, including first place gold.",1609.6,Not President (Pre-2017),Not In Office,-0.6337,99366.3,0.6523,100652.34,7.5174,107517.4
2012-09-05,2012-09-05,gold,Gold,gold,1,0.8225,positive,20,Twitter,".@serenawilliams is a special player. After winning the Gold for the US in the Olympics, it looks like she will (cont) http://tl.gd/j64ers ",1690.8,Not President (Pre-2017),Not In Office,0.6979,100697.89,2.3539,102353.92,5.1928,105192.81
2012-09-24,2012-09-24,gold,Gold,gold,1,0.0516,positive,339,Twitter,"With Obama and Bernanke destroying the value of the dollar, gold and real estate should continue to rise in value.",1762.1,Not President (Pre-2017),Not In Office,0.0965,100096.48,1.0442,101044.21,-3.4958,96504.17
2012-09-27,2012-09-27,gold,Gold,gold,1,0.4588,positive,29,Twitter,@BENJAMINPRICE18 Go for the gold standard--aim high. Be tenacious and have passion for your work.,1777.6,Not President (Pre-2017),Not In Office,-0.3657,99634.34,0.9282,100928.22,-3.381,96619.04
2012-11-16,2012-11-16,gold,Gold,gold,1,0.2732,positive,365,Twitter,"With the run on our dollar about to take place, commodity prices will rise. Gold, silver, & timber will spike-- also, certain real estate.",1714.3,Not President (Pre-2017),Not In Office,1.1492,101149.16,2.1583,102158.32,-1.0092,98990.84
2012-12-03,2012-12-03,gold,Gold,gold,1,0.0,neutral,327,Twitter,Gold just set another record high on price with the largest physical gold sales on record http://bit.ly/SF40Sk  Inflation is coming...,1719.6,Not President (Pre-2017),Not In Office,-1.4655,98534.54,-0.3838,99616.19,-1.8435,98156.55
2012-12-04,2012-12-04,gold,Gold,gold,1,0.7579,positive,114,Twitter,"How could Michael Forbes get Scot of the Year when he lost—badly—to me & Andy Murray, a true Scot, who won the U.S. Open & Olympic gold?",1694.4,Not President (Pre-2017),Not In Office,-0.118,99881.96,0.8144,100814.45,-1.2217,98778.33
